time(s);temperature(K)
0.0166667;5.17688e-10
0.0333333;5.17688e-10
0.0500000;5.17688e-10
0.0666667;5.17688e-10
0.0833333;5.17688e-10
0.100000;5.17688e-10
0.116667;5.17688e-10
0.133333;5.17688e-10
0.150000;5.17688e-10
0.166667;5.17688e-10
0.183333;5.17688e-10
0.200000;5.17688e-10
0.216667;5.17688e-10
0.233333;5.17688e-10
0.250000;5.17688e-10
0.266667;5.17688e-10
0.283333;5.17688e-10
0.300000;5.17688e-10
0.316667;5.17688e-10
0.333333;5.17688e-10
0.350000;5.17688e-10
0.366667;5.17688e-10
0.383333;5.17688e-10
0.400000;5.17688e-10
0.416667;5.17688e-10
0.433333;5.17688e-10
0.450000;5.17688e-10
0.466667;5.17688e-10
0.483334;5.17688e-10
0.500000;5.17688e-10
0.516667;5.17688e-10
0.533333;5.17688e-10
0.550000;5.17688e-10
0.566667;5.17688e-10
0.583333;5.17688e-10
0.600000;5.17688e-10
0.616667;5.17688e-10
0.633333;5.17688e-10
0.650000;5.17688e-10
0.666667;5.17688e-10
0.683333;5.17688e-10
0.700000;5.17688e-10
0.716667;5.17688e-10
0.733333;5.17688e-10
0.750000;5.17688e-10
0.766667;5.17688e-10
0.783333;5.17688e-10
0.800000;5.17688e-10
0.816667;5.17688e-10
0.833333;5.17688e-10
0.850000;5.17688e-10
0.866666;5.17688e-10
0.883333;5.17688e-10
0.900000;5.17688e-10
0.916666;5.17688e-10
0.933333;5.17688e-10
0.950000;5.17688e-10
0.966666;5.17688e-10
0.983333;5.17688e-10
1.00000;5.17688e-10
1.01667;5.17688e-10
